     TASK                      f                 MAX[g]   co2                    co                     o                      o1d                    o2                     o3                     h                      h2                     oh                     ho2                    h2o2                   n2                     ar                     h2o_ice                h2o_vap                ch4                    ch3                    ch3o2                  ch3ooh                 ch3oh                  ch3o                   hcho                   hcooh                  hoch2o2                hoch2oh                hoch2ooh               hco                 
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  FG_STAR  0.000000000000000E+00  0.000000000000000E+00  0.971877515316010E+00  0.526071176864207E-03  0.849674428038405E-10  0.395972987740965E-18  0.112019304651767E-02  0.868095995087970E-08  0.280279407538844E-13  0.788689021646860E-06  0.168246601546518E-12  0.137206301875636E-08  0.203723296010594E-07  0.174187198281288E-01  0.147460000589490E-01  0.100000000000000E-30  0.118390496936627E-03  0.368625108215781E-08  0.901647062521974E-20  0.193400994673545E-15  0.366946802262368E-13  0.214367495337812E-17  0.351418212025140E-17  0.700055493785203E-14  0.632307086464307E-12  0.435387797547236E-17  0.500095814955528E-22  0.549374304050941E-14  0.173299197713035E-21
  FG_LNSR  0.322415246375702E-03  0.493808157955504E+04  0.971877515316010E+00  0.526071176864207E-03  0.849674428038405E-13  0.395972987740965E-21  0.105298146372661E-02  0.868095995087970E-11  0.280279407538844E-09  0.833445107919887E-06  0.168246601546518E-08  0.100000000000000E-06  0.203723296010594E-05  0.174187198281288E-01  0.147460000589490E-01  0.100000000000000E-30  0.118403647911226E-03  0.543576615394234E-07  0.100000000000000E-08  0.193400994673545E-19  0.100000000000000E-06  0.214367495337812E-17  0.351418212025140E-13  0.100000000000000E-06  0.632307086464307E-12  0.435387797547236E-13  0.500095814955528E-22  0.100000000000000E-06  0.173299197713035E-17
  NEW_X    0.250435303644143E-03  0.544813181848121E+08  0.971877515316010E+00  0.526071176864207E-03  0.849674428038405E-13  0.395972987740965E-21  0.105298146372661E-02  0.868095995087970E-11  0.280279407538844E-09  0.833445107919887E-06  0.168246601546518E-08  0.100000000000000E-06  0.203723296010594E-05  0.174187198281288E-01  0.147460000589490E-01  0.100000000000000E-30  0.118403647911226E-03  0.543576615394234E-07  0.100000000000000E-08  0.193400994673545E-19  0.100000000000000E-06  0.214367495337812E-17  0.351418212025140E-13  0.100000000000000E-06  0.632307086464307E-12  0.435387797547236E-13  0.500095814955528E-22  0.100000000000000E-06  0.173299197713035E-17
  FG_LNSR  0.250435303644143E-03  0.544813181848121E+08  0.971877515316010E+00  0.733970158398718E-02  0.849674428038405E-13  0.395972987740965E-21  0.116500076837838E-02  0.868095995087970E-11  0.280279407538844E-17  0.788689021646860E-09  0.168246601546518E-16  0.137206301875636E-12  0.203723296010594E-10  0.174187198281288E-01  0.147460000589490E-01  0.100000000000000E-30  0.109074527563741E-03  0.100000000000000E-30  0.100000000000000E-08  0.193400994673545E-19  0.100000000000000E-06  0.100000000000000E-30  0.351418212025140E-13  0.100000000000000E-06  0.100000000000000E-06  0.435387797547236E-13  0.100000000000000E-06  0.100000000000000E-30  0.173299197713035E-17
  FG_LNSR  0.250435303644143E-03  0.544813181848121E+08  0.971877515316010E+00  0.196399476237591E-02  0.849674428038405E-13  0.395972987740965E-21  0.107662160716953E-02  0.868095995087970E-11  0.221130269337596E-09  0.657724349407679E-06  0.132740455825177E-08  0.788963955091148E-07  0.160730708305770E-05  0.174187198281288E-01  0.147460000589490E-01  0.100000000000000E-30  0.116434864549320E-03  0.428862198981086E-07  0.100000000000000E-08  0.193400994673545E-19  0.100000000000000E-06  0.169128164893493E-17  0.351418212025140E-13  0.100000000000000E-06  0.211041323137169E-07  0.435387797547236E-13  0.211036334464003E-07  0.788963665535998E-07  0.173299197713035E-17
  FG_LNSR  0.255703213372133E-03  0.122385756379770E+09  0.971877515316010E+00  0.688512960904506E-03  0.849674428038405E-13  0.395972987740965E-21  0.105565208344140E-02  0.868095995087970E-11  0.273597347636170E-09  0.813593988018074E-06  0.164235483213469E-08  0.976159323084193E-07  0.198866436635278E-05  0.174187198281288E-01  0.147460000589490E-01  0.100000000000000E-30  0.118181235061949E-03  0.530617363146722E-07  0.100000000000000E-08  0.193400994673545E-19  0.100000000000000E-06  0.209256822128047E-17  0.351418212025140E-13  0.100000000000000E-06  0.238468819511308E-08  0.435387797547236E-13  0.238407096267631E-08  0.976159290373237E-07  0.173299197713035E-17
  FG_LNSR  0.250841243871353E-03  0.845237467447088E+08  0.971877515316010E+00  0.557216069777467E-03  0.849674428038405E-13  0.395972987740965E-21  0.105349350048809E-02  0.868095995087970E-11  0.278998259087180E-09  0.829639061297074E-06  0.167477551565423E-08  0.995429037338458E-07  0.202792092465689E-05  0.174187198281288E-01  0.147460000589490E-01  0.100000000000000E-30  0.118361004791944E-03  0.541091943572453E-07  0.100000000000000E-08  0.193400994673545E-19  0.100000000000000E-06  0.213387628176336E-17  0.351418212025140E-13  0.100000000000000E-06  0.457726310150330E-09  0.435387797547236E-13  0.457096893319964E-09  0.995429031066801E-07  0.173299197713035E-17
  FG_LNSR  0.250497236595354E-03  0.630726021041713E+08  0.971877515316010E+00  0.532498886832206E-03  0.849674428038405E-13  0.395972987740965E-21  0.105308713831682E-02  0.868095995087970E-11  0.280015003012035E-09  0.832659612722191E-06  0.168087884345494E-08  0.999056640767885E-07  0.203531113416661E-05  0.174187198281288E-01  0.147460000589490E-01  0.100000000000000E-30  0.118394847187344E-03  0.543063826672162E-07  0.100000000000000E-08  0.193400994673545E-19  0.100000000000000E-06  0.214165269504554E-17  0.351418212025140E-13  0.100000000000000E-06  0.949677632393777E-10  0.435387797547236E-13  0.943360526465094E-10  0.999056639473535E-07  0.173299197713035E-17
  FG_LNSR  0.250447294422291E-03  0.563651561427261E+08  0.971877515316010E+00  0.527418613110957E-03  0.849674428038405E-13  0.395972987740965E-21  0.105300361621543E-02  0.868095995087970E-11  0.280223980606857E-09  0.833280445122982E-06  0.168213329773101E-08  0.999802244278384E-07  0.203683008910779E-05  0.174187198281288E-01  0.147460000589490E-01  0.100000000000000E-30  0.118401803021769E-03  0.543469119860913E-07  0.100000000000000E-08  0.193400994673545E-19  0.100000000000000E-06  0.214325102880916E-17  0.351418212025140E-13  0.100000000000000E-06  0.204077813388863E-10  0.435387797547236E-13  0.197755992949877E-10  0.999802244007051E-07  0.173299197713035E-17
