      Iteration                   COST                1D/Cur.               MAX GRAD               MIN GRAD                    co2                     co                      o                    o1d                     o2                     o3                      h                     h2                     oh                    ho2                   h2o2                     n2                     ar                h2o_ice                h2o_vap                    ch4
              1   0.48283176412135E+03   0.69815351959643E+00   0.31016133738550E+06  -0.22805758559286E+09   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00   0.00000000000000E+00
              2   0.10408257683081E+04   0.34910703439355E+00   0.30893206777496E+06  -0.12015372151587E+10          0.2896197E-07          0.2621104E-03          0.3704437E-18          0.0000000E+00          0.0000000E+00          0.3967414E-08          0.7428081E-16          0.3932810E-06          0.2307660E-15          0.6020279E-10          0.1198881E-07          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.6508911E-04          0.0000000E+00
              3   0.53406468721959E+03   0.66611449557280E+00   0.30893102531222E+06  -0.13194069486433E+10          0.2658691E-08          0.2406158E-04          0.3400651E-19          0.0000000E+00          0.0000000E+00          0.3642062E-09          0.6818933E-17          0.3610296E-07          0.2118418E-16          0.5526579E-11          0.1100566E-08          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.5975141E-05          0.0000000E+00
              4   0.48754302404692E+03   0.69520702361608E+00   0.30893118284040E+06  -0.89446290510686E+09          0.2440410E-09          0.2208609E-05          0.3121454E-20          0.0000000E+00          0.0000000E+00          0.3343044E-10          0.6259091E-18          0.3313886E-08          0.1944493E-17          0.5072841E-12          0.1010208E-09          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.5484575E-06          0.0000000E+00
              5   0.48327118444172E+03   0.69787838541416E+00   0.30893129858208E+06  -0.85058149489083E+09          0.2237777E-10          0.2025221E-06          0.2862269E-21          0.0000000E+00          0.0000000E+00          0.3065460E-11          0.5739378E-19          0.3038723E-09          0.1783036E-18          0.4651626E-13          0.9263271E-11          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.5029173E-07          0.0000000E+00
              6   0.48287958809675E+03   0.69812322227374E+00   0.30893128349246E+06  -0.84652706611324E+09          0.2032596E-11          0.1839497E-07          0.2599783E-22          0.0000000E+00          0.0000000E+00          0.2784340E-12          0.5213045E-20          0.2760055E-10          0.1619521E-19          0.4225046E-14          0.8413777E-12          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.4567969E-08          0.0000000E+00
              7   0.48284375697531E+03   0.69814564908878E+00   0.30893128534186E+06  -0.84615440215591E+09          0.1662004E-12          0.1503890E-08          0.2125466E-23          0.0000000E+00          0.0000000E+00          0.2276352E-13          0.4261951E-21          0.2256497E-11          0.1324048E-20          0.3454208E-15          0.6878727E-13          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.3734567E-09          0.0000000E+00
              8   0.48283933319308E+03   0.69814841465817E+00   0.30893128549532E+06  -0.84612029887922E+09          0.6106227E-14          0.5485270E-10          0.7752397E-25          0.0000000E+00          0.0000000E+00          0.8302735E-15          0.1554499E-22          0.8230319E-13          0.4829315E-22          0.1259883E-16          0.2508938E-14          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.1362141E-10          0.0000000E+00
              9   0.48283933319308E+03   0.69814841465817E+00   0.30893128550679E+06  -0.84611455211365E+09          0.0000000E+00          0.1393803E-12          0.1969879E-27          0.0000000E+00          0.0000000E+00          0.2109719E-17          0.3949970E-25          0.2091318E-15          0.1227125E-24          0.3201354E-19          0.6375193E-17          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.3461191E-13          0.0000000E+00
             10   0.48283933319308E+03   0.69814841465817E+00   0.30893128550762E+06  -0.84611388215228E+09          0.0000000E+00          0.8673617E-18          0.1251854E-32          0.0000000E+00          0.0000000E+00          0.1323489E-22          0.2465190E-30          0.1376429E-20          0.7888609E-30          0.2067952E-24          0.4301339E-22          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.2168404E-18          0.0000000E+00
             11   0.48283933319308E+03   0.69814841465817E+00   0.30893128550762E+06  -0.84611388215228E+09          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00
             12   0.48283933319308E+03   0.69814841465817E+00   0.30893128550762E+06  -0.84611388215228E+09          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00          0.0000000E+00
