         TRACER     LAYER    INITIAL MMR      FINAL MMR
            co2         1  0.9779743E+00  0.9779743E+00
            co2         2  0.9779741E+00  0.9779742E+00
            co2         3  0.9779738E+00  0.9779738E+00
            co2         4  0.9779736E+00  0.9779736E+00
            co2         5  0.9779738E+00  0.9779738E+00
            co2         6  0.9779745E+00  0.9779744E+00
            co2         7  0.9779773E+00  0.9779772E+00
            co2         8  0.9779850E+00  0.9779850E+00
            co2         9  0.9780071E+00  0.9780070E+00
            co2        10  0.9781334E+00  0.9781334E+00
            co2        11  0.9785076E+00  0.9785076E+00
            co2        12  0.9788865E+00  0.9788865E+00
            co2        13  0.9791836E+00  0.9791836E+00
            co2        14  0.9795328E+00  0.9795328E+00
            co2        15  0.9798704E+00  0.9798705E+00
            co2        16  0.9800718E+00  0.9800718E+00
            co2        17  0.9801651E+00  0.9801652E+00
            co2        18  0.9801719E+00  0.9801719E+00
            co2        19  0.9801090E+00  0.9801090E+00
            co2        20  0.9799723E+00  0.9799724E+00
            co2        21  0.9797273E+00  0.9797274E+00
            co2        22  0.9792882E+00  0.9792885E+00
            co2        23  0.9786642E+00  0.9786642E+00
            co2        24  0.9780313E+00  0.9780312E+00
            co2        25  0.9772713E+00  0.9772713E+00
             co         1  0.4517744E-03  0.4517746E-03
             co         2  0.4517752E-03  0.4517750E-03
             co         3  0.4517801E-03  0.4517797E-03
             co         4  0.4517855E-03  0.4517851E-03
             co         5  0.4517837E-03  0.4517837E-03
             co         6  0.4517702E-03  0.4517701E-03
             co         7  0.4517249E-03  0.4517249E-03
             co         8  0.4515995E-03  0.4515995E-03
             co         9  0.4512562E-03  0.4512561E-03
             co        10  0.4494117E-03  0.4494117E-03
             co        11  0.4440815E-03  0.4440815E-03
             co        12  0.4389673E-03  0.4389673E-03
             co        13  0.4355238E-03  0.4355239E-03
             co        14  0.4317787E-03  0.4317787E-03
             co        15  0.4281578E-03  0.4281579E-03
             co        16  0.4261618E-03  0.4261619E-03
             co        17  0.4255998E-03  0.4255999E-03
             co        18  0.4262339E-03  0.4262339E-03
             co        19  0.4282890E-03  0.4282889E-03
             co        20  0.4335294E-03  0.4334847E-03
             co        21  0.4493470E-03  0.4492648E-03
             co        22  0.4990589E-03  0.4989908E-03
             co        23  0.6230531E-03  0.6230111E-03
             co        24  0.7663119E-03  0.7662994E-03
             co        25  0.9476109E-03  0.9476076E-03
              o         1  0.1208655E-19  0.1995231E-17
              o         2  0.1258413E-19  0.2006299E-17
              o         3  0.1586816E-19  0.2564837E-17
              o         4  0.2187751E-19  0.9400585E-18
              o         5  0.2911834E-19  0.2251900E-19
              o         6  0.3706885E-19  0.2014601E-19
              o         7  0.4763666E-19  0.2627404E-19
              o         8  0.6483363E-19  0.3617388E-19
              o         9  0.9808984E-19  0.5520552E-19
              o        10  0.1759475E-18  0.9925410E-19
              o        11  0.3852334E-18  0.2167237E-18
