         TRACER     LAYER               GRADIENT
************************************************
            co2         1  0.141610864442306E-10
            co2         2  0.460111501530770E-10
            co2         3  0.115456879552651E-09
            co2         4  0.237632612327189E-09
            co2         5  0.413564854913573E-09
            co2         6  0.581386700967697E-09
            co2         7  0.409064324566416E-09
            co2         8  0.860068329808642E-10
            co2         9  0.452104124792946E-11
            co2        10  0.384261251704979E-13
            co2        11  0.687579316245446E-17
            co2        12  0.446729026069772E-21
            co2        13  0.177482900473039E-25
            co2        14  0.530593618948733E-30
            co2        15  0.123829486593135E-34
            co2        16  0.222428360786326E-39
            co2        17  0.302527562995217E-44
            co2        18  0.324523134527788E-49
            co2        19  0.382879143802037E-54
            co2        20  0.531452207409181E-59
            co2        21  0.556608450756563E-64
            co2        22  0.419116824688227E-69
            co2        23  0.309772212163996E-74
            co2        24  0.190705671300119E-79
            co2        25  0.890051234517902E-85
             co         1 -0.298915556910291E-06
             co         2 -0.971213281868139E-06
             co         3 -0.243129811129683E-05
             co         4 -0.495769641593153E-05
             co         5 -0.854687111314957E-05
             co         6 -0.116610208195561E-04
             co         7 -0.767350663664573E-05
             co         8 -0.147270020430085E-05
             co         9 -0.706249582108552E-07
             co        10 -0.551474860448575E-09
             co        11 -0.920801106318637E-13
             co        12 -0.534758717587808E-17
             co        13 -0.178560476669535E-21
             co        14 -0.435930208012119E-26
             co        15 -0.830733006351221E-31
             co        16 -0.122838549282373E-35
             co        17 -0.139679393051363E-40
             co        18 -0.125023869729944E-45
             co        19 -0.990050109271595E-51
             co        20 -0.793263872268479E-56
             co        21 -0.577450741161317E-61
             co        22 -0.362263681185135E-66
             co        23 -0.190747998342822E-71
             co        24 -0.878913444161310E-77
             co        25 -0.315212419663906E-82
              o         1  0.140046515112127E-03
              o         2  0.455052844448623E-03
              o         3  0.129001807630779E-02
              o         4  0.117796862931128E-02
              o         5  0.305774483727530E-03
              o         6  0.134670128370289E-03
              o         7  0.275207593115694E-03
              o         8  0.122251403050663E-03
              o         9  0.991777237392449E-05
              o        10  0.175720028032937E-06
              o        11  0.375673109769800E-11
              o        12  0.410119945257698E-15
              o        13  0.319788887385921E-19
              o        14  0.108528027550753E-23
              o        15  0.228118500382178E-28
              o        16  0.321753171312981E-33
              o        17  0.348078300173844E-38
              o        18  0.345588173702167E-43
              o        19  0.469236311299857E-48
              o        20  0.829184462767463E-53
              o        21  0.887023020813902E-58
              o        22  0.584383132646447E-63
              o        23  0.520201007165183E-68
              o        24  0.287254411022406E-73
              o        25  0.971247368060935E-79
            o1d         1  0.160786970033401E-02
            o1d         2  0.522451452918863E-02
            o1d         3  0.152263595009714E-01
            o1d         4  0.841365910892915E-01
            o1d         5  0.182878382350481E+00
            o1d         6  0.238609761122217E+00
            o1d         7  0.145586780161043E+00
            o1d         8  0.258561491720855E-01
            o1d         9  0.146308124673677E-02
            o1d        10  0.136609662549938E-04
            o1d        11  0.677792712046944E-09
            o1d        12  0.169204180110448E-13
            o1d        13  0.365179798150857E-18
            o1d        14  0.789430287121829E-23
            o1d        15  0.190945810638592E-27
            o1d        16  0.508793600943232E-32
            o1d        17  0.791334149014864E-37
            o1d        18  0.806017253307472E-42
            o1d        19  0.805351511723072E-47
            o1d        20  0.672459007725117E-52
            o1d        21  0.321920794392977E-57
            o1d        22  0.102474590075793E-62
            o1d        23 -0.673745497823282E-69
            o1d        24 -0.138334032311389E-73
            o1d        25 -0.477954056190533E-79
             o2         1  0.806456626326694E-02
             o2         2  0.262027619307079E-01
             o2         3  0.655807370378988E-01
             o2         4  0.133479346689083E+00
             o2         5  0.228871227441617E+00
             o2         6  0.306984325229600E+00
             o2         7  0.194179861038951E+00
             o2         8  0.351397939725673E-01
             o2         9  0.146504139057730E-02
             o2        10  0.933367177771755E-05
             o2        11  0.191321613293932E-08
             o2        12  0.116540901640712E-12
             o2        13  0.384481906388424E-17
             o2        14  0.875099179229347E-22
             o2        15  0.149417923574817E-26
             o2        16  0.194485157398678E-31
             o2        17  0.194735384556235E-36
             o2        18  0.154546493063666E-41
             o2        19  0.101853297639825E-46
             o2        20  0.587922879148572E-52
             o2        21  0.304703333837911E-57
             o2        22  0.135626790382712E-62
             o2        23  0.562356919925306E-68
             o2        24  0.209632016150839E-73
             o2        25  0.638592358965611E-79
             o3         1  0.466820797773317E-04
             o3         2  0.151683982791499E-03
             o3         3  0.430005214824705E-03
             o3         4  0.392654374839254E-03
             o3         5  0.101921330605219E-03
             o3         6  0.448850910076991E-04
             o3         7  0.917325037868573E-04
             o3         8  0.407497941166005E-04
             o3         9  0.330588459825299E-05
             o3        10  0.585730408740534E-07
             o3        11  0.125222802116860E-11
             o3        12  0.136706190071138E-15
             o3        13  0.106596167941130E-19
             o3        14  0.361759704190434E-24
             o3        15  0.760393654777737E-29
             o3        16  0.107250617202711E-33
             o3        17  0.116026588518255E-38
             o3        18  0.115220927197093E-43
